BOTTLE,20210219CCHSIOCBG
320620170820,        P06,     243,          1,         34,         34,2,20170928,       0509,   -32.4994,   -72.4048,       3457,    49.3,  13.2673,  34.2087,2,  34.2052,2, 248.3928,2, 254.8449,2,     1.2,2,    7.23,2,    0.21,2,    0.91,2,-999.000,9,-999.000,9,-999.0000,9,  2085.4,2,  2275.2,2,   7.8423,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,      655, -32.4994, -72.4047,        0.0,1,      0.182,1,      4.576,1,      0.211,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.2638,2
320620170820,        P06,     243,          1,         35,         35,2,20170928,       0509,   -32.4994,   -72.4048,       3457,    24.8,  13.2823,  34.2085,2,  34.2036,2, 250.1256,2, 255.0195,2,     1.1,2,    7.14,2,    0.21,2,    0.90,2,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,      657, -32.4994, -72.4047,        0.0,1,      0.234,1,      4.537,1,      0.298,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.2809,2
320620170820,        P06,     243,          1,         36,         36,2,20170928,       0509,   -32.4994,   -72.4048,       3457,     5.5,  13.4592,  34.2047,2,  34.2032,2, 255.2211,2, 262.6573,2,     0.6,2,    6.53,2,    0.22,2,    0.86,2,-999.000,9,-999.000,9,-999.0000,9,  2076.2,2,  2274.9,2,   7.8596,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,      659, -32.4994, -72.4048,        0.0,1,      0.307,1,      4.500,1,      0.255,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.4376,2
320620170820,        P06,     244,          1,          1,          1,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  2927.3,   1.7940,  34.6813,2,  34.6806,2, 148.3608,2, 148.3835,2,   129.7,2,   35.91,2,    0.00,2,    2.51,2,   0.019,2,   0.024,2,   0.0000,2,  2318.1,2,  2409.1,2,   7.5713,2,    25.00,  -999.0,9,  -999.0,    34.3,2, -999.00,9,     -999.0,1, 20170928,      945, -32.5000, -72.3356,        0.0,1,      0.062,1,      4.673,1,      0.137,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7951,2
320620170820,        P06,     244,          1,          2,          2,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  2814.3,   1.8100,  34.6792,2,  34.6787,2, 148.3608,2, 148.3412,2,   128.9,2,   35.91,2,    0.00,2,    2.51,2,   0.026,2,   0.035,2,   0.0000,2,  2315.6,2,  2406.8,2,   7.5696,2,    25.00,  -999.0,9,  -999.0,    38.2,2, -999.00,9,     -999.0,1, 20170928,      948, -32.5001, -72.3355,        0.0,1,      0.062,1,      4.673,1,      0.140,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8094,2
320620170820,        P06,     244,          1,          3,          3,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  2701.3,   1.8164,  34.6780,2,  34.6771,2, 148.2163,2, 148.1312,2,   128.2,2,   35.95,2,    0.00,2,    2.50,2,   0.017,2,   0.024,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    34.9,2, -999.00,9,     -999.0,1, 20170928,      951, -32.5001, -72.3355,        0.0,1,      0.062,1,      4.674,1,      0.138,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8168,2
320620170820,        P06,     244,          1,          4,          4,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  2497.3,   1.8573,  34.6729,2,  34.6724,2, 147.4952,2, 147.8208,2,   125.7,2,   35.89,2,    0.00,2,    2.51,2,   0.017,2,   0.035,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,      956, -32.5001, -72.3355,        0.0,1,      0.061,1,      4.673,1,      0.144,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8529,2
320620170820,        P06,     244,          1,          5,          5,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  2294.8,   1.9717,  34.6616,2,  34.6612,2, 143.1806,2, 142.9477,2,   123.2,2,   36.26,2,    0.00,2,    2.55,2,   0.020,2,   0.059,2,   0.0000,2,  2314.5,2,  2398.8,2,   7.5539,2,    25.00,  -999.0,9,  -999.0,    34.8,2, -999.00,9,     -999.0,1, 20170928,     1000, -32.5001, -72.3354,        0.0,1,      0.062,1,      4.672,1,      0.144,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.9598,2
320620170820,        P06,     244,          1,          6,          6,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  2089.6,   2.1342,  34.6465,2,  34.6462,2, 135.9762,2, 135.3619,2,   119.8,2,   36.89,2,    0.00,2,    2.59,2,   0.023,2,   0.065,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1004, -32.5002, -72.3354,        0.0,1,      0.062,1,      4.674,1,      0.145,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.1215,2
320620170820,        P06,     244,          1,          7,          7,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1959.0,   2.2517,  34.6352,2,  34.6345,2, 130.7247,2, 131.0838,2,   116.6,2,   37.31,2,    0.00,2,    2.64,2,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    35.6,2, -999.00,9,     -999.0,1, 20170928,     1007, -32.5001, -72.3355,        0.0,1,      0.062,1,      4.673,1,      0.141,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.2470,2
320620170820,        P06,     244,          1,          8,          8,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1855.5,   2.3612,  34.6247,2,  34.6236,2,  127.249,2, 127.1779,2,   113.2,2,   37.61,2,    0.00,2,    2.67,2,   0.024,2,   0.071,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1010, -32.5001, -72.3356,        0.0,1,      0.062,1,      4.673,1,      0.140,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.3577,2
320620170820,        P06,     244,          1,          9,          9,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1754.6,   2.4700,  34.6138,2,  34.6130,2, 123.9795,2, 124.5211,2,   109.9,2,   37.92,2,    0.00,2,    2.68,2,-999.000,9,-999.000,9,-999.0000,9,  2311.2,2,  2382.0,2,   7.5175,6,    25.00,  -999.0,9,  -999.0,    37.3,2, -999.00,9,     -999.0,1, 20170928,     1012, -32.5001, -72.3356,        0.0,1,      0.063,1,      4.673,1,      0.143,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.4682,2
320620170820,        P06,     244,          1,         10,         10,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1653.2,   2.5876,  34.6031,2,  34.6007,2, 120.3435,2, 120.4419,2,   106.7,2,   38.25,2,    0.00,2,    2.70,2,   0.021,2,   0.051,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1015, -32.5000, -72.3357,        0.0,1,      0.064,1,      4.673,1,      0.143,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.5914,2
320620170820,        P06,     244,          1,         11,         11,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1551.4,   2.7484,  34.5874,2,  34.5842,2,  116.069,2, 116.1644,2,   101.9,2,   38.67,2,    0.00,2,    2.74,2,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    34.7,2, -999.00,9,     -999.0,1, 20170928,     1018, -32.5000, -72.3358,        0.0,1,      0.062,1,      4.673,1,      0.142,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.7650,2
320620170820,        P06,     244,          1,         12,         12,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1449.7,   2.9181,  34.5707,2,  34.5681,2, 112.6462,2, 112.6131,2,    96.8,2,   38.93,2,    0.00,2,    2.77,2,   0.023,2,   0.061,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1020, -32.5000, -72.3358,        0.0,1,      0.061,1,      4.672,1,      0.145,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.9279,2
320620170820,        P06,     244,          1,         13,         13,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1347.8,   3.0846,  34.5546,2,  34.5527,2, 109.7746,2, 109.8531,2,    92.2,2,   39.22,2,    0.00,2,    2.78,2,   0.019,2,   0.054,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    38.8,2, -999.00,9,     -999.0,1, 20170928,     1023, -32.5000, -72.3357,        0.0,1,      0.063,1,      4.673,1,      0.142,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.0886,2
320620170820,        P06,     244,          1,         14,         14,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1246.8,   3.3263,  34.5373,2,  34.5335,2,  105.445,2, 105.3677,2,    86.5,2,   39.68,2,    0.00,2,    2.81,2,   0.029,2,   0.102,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1026, -32.5001, -72.3357,        0.0,1,      0.063,1,      4.673,1,      0.144,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.3299,2
320620170820,        P06,     244,          1,         15,         15,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1145.0,   3.5417,  34.5072,2,  34.5084,2, 103.7311,2, 104.5204,2,    78.9,2,   39.83,2,    0.00,2,    2.82,2,   0.033,2,   0.096,2,   0.0000,2,  2295.0,2,  2345.6,6,   7.4751,2,    25.00,  -999.0,9,  -999.0,    38.9,2, -999.00,9,     -999.0,1, 20170928,     1029, -32.5001, -72.3357,        0.0,1,      0.062,1,      4.673,1,      0.142,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.5508,2
320620170820,        P06,     244,          1,         16,         16,2,20170928,       0945,   -32.4999,   -72.3354,       2896,  1044.1,   3.7362,  34.4752,2,  34.4756,2, 110.9485,2, 108.7983,2,    69.8,2,   39.48,2,    0.00,2,    2.78,2,   0.063,2,   0.115,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    34.8,2, -999.00,9,     -999.0,1, 20170928,     1031, -32.5000, -72.3359,        0.0,1,      0.062,1,      4.673,1,      0.144,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.7419,2
320620170820,        P06,     244,          1,         17,         17,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   943.4,   3.9525,  34.4376,2,  34.4361,2, 118.9591,2, 118.9594,2,    59.5,2,   38.69,2,    0.00,2,    2.72,2,   0.153,2,   0.152,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1034, -32.5000, -72.3360,        0.0,1,      0.063,1,      4.671,1,      0.149,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.9512,2
320620170820,        P06,     244,          1,         18,         18,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   843.4,   4.3328,  34.3997,2,  34.3961,2, 128.6063,2, 128.2469,2,    48.1,2,   37.72,2,    0.00,2,    2.64,2,   0.379,2,   0.246,2,   0.0000,2,  2252.4,2,  2311.3,2,   7.5002,2,    25.00,  -999.0,9,  -999.0,    42.8,3, -999.00,9,     -999.0,1, 20170928,     1037, -32.5000, -72.3360,        0.0,1,      0.061,1,      4.672,1,      0.150,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.3385,2
320620170820,        P06,     244,          1,         19,         19,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   740.8,   4.7113,  34.3426,2,  34.3425,2,  157.271,2, 159.4842,2,    34.2,2,   35.09,2,    0.00,2,    2.43,2,   1.015,2,   0.529,2,   0.0740,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1039, -32.5000, -72.3358,        0.0,1,      0.062,1,      4.673,1,      0.148,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.7169,2
320620170820,        P06,     244,          1,         20,         20,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   640.4,   5.2345,  34.3094,2,  34.3060,2, 177.7032,2, 176.2705,2,    22.8,2,   32.42,2,    0.00,2,    2.24,2,   1.962,2,   1.001,2,   0.2690,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    40.2,2, -999.00,9,     -999.0,1, 20170928,     1042, -32.5001, -72.3357,        0.0,1,      0.061,1,      4.671,1,      0.153,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.2390,2
320620170820,        P06,     244,          1,         21,         21,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   539.8,   5.7569,  34.3074,2,  34.3054,2,  179.432,2, 179.3221,2,    17.2,2,   31.13,2,    0.00,2,    2.14,2,   2.496,2,   1.367,2,   0.3920,2,  2195.5,6,  2279.5,2,   7.5762,2,    25.00,  -999.0,9,  -999.0,    40.6,2, -999.00,9,     -999.0,1, 20170928,     1045, -32.5001, -72.3357,        0.0,1,      0.061,1,      4.669,1,      0.152,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.7974,2
320620170820,        P06,     244,          1,         22,         22,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   468.8,   6.1793,  34.3144,2,  34.3076,2,  176.798,2, 177.7028,2,    14.8,2,   30.37,2,    0.00,2,    2.10,2,   2.648,2,   1.548,2,   0.5140,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    46.4,3,   31.60,2,     -999.0,1, 20170928,     1047, -32.5001, -72.3357,        0.0,1,      0.062,1,      4.668,1,      0.153,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.1721,2
320620170820,        P06,     244,          1,         23,         23,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   421.8,   6.8100,  34.3580,2,  34.3511,2, 138.7635,2, 138.7203,2,    16.9,2,   32.56,2,    0.00,2,    2.27,2,   2.483,2,   1.352,2,   0.5710,2,  2216.4,2,  2278.9,2,   7.5121,2,    25.00,  -999.0,9,  -999.0,    42.7,3,   34.30,2,     -999.0,1, 20170928,     1049, -32.5001, -72.3358,        0.0,1,      0.063,1,      4.664,1,      0.181,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.7161,2
320620170820,        P06,     244,          1,         24,         24,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   368.2,   7.5326,  34.4227,2,  34.4371,2,  72.5274,2,  71.4019,2,    21.4,2,   35.80,2,    0.00,2,    2.60,2,   1.786,2,   0.968,2,   0.3510,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    39.0,3,   37.90,2,     -999.0,1, 20170928,     1050, -32.5000, -72.3358,        0.0,1,      0.065,1,      4.658,1,      0.169,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     7.6914,2
320620170820,        P06,     244,          1,         25,         25,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   316.7,   8.7637,  34.5368,2,  34.5337,2,  25.4245,2,  26.9955,2,    24.8,2,   35.49,2,    0.00,2,    2.77,2,   1.184,2,   0.679,2,   0.2260,2,  2279.3,2,  2287.8,2,   7.3478,2,    25.00,  -999.0,9,  -999.0,    44.0,2,   37.60,2,     -999.0,1, 20170928,     1052, -32.5000, -72.3359,        0.0,1,      0.066,1,      4.644,1,      0.195,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     8.7891,2
320620170820,        P06,     244,          1,         26,         26,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   265.3,   9.5552,  34.5660,2,  34.5525,2,  20.6643,2,  22.7666,2,    23.6,2,   32.00,2,    0.00,2,    2.77,2,   1.334,2,   0.777,2,   0.3010,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1054, -32.5000, -72.3359,        0.0,1,      0.066,1,      4.642,1,      0.256,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     9.5201,2
320620170820,        P06,     244,          1,         27,         27,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   236.3,   9.9570,  34.5781,2,  34.5712,2,  21.2083,2,  21.2923,2,    23.4,2,   29.74,2,    0.00,2,    2.74,2,   1.387,2,   0.811,2,   0.2540,2,  2277.3,2,  2286.5,2,   7.3458,2,    25.00,  -999.0,9,  -999.0,    43.9,2,   31.80,2,     -999.0,1, 20170928,     1056, -32.5000, -72.3359,        0.0,1,      0.067,1,      4.644,1,      0.189,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     9.9760,2
320620170820,        P06,     244,          1,         28,         28,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   210.0,  10.3465,  34.5955,2,  34.5732,2,  22.8532,2,  22.4564,2,    22.7,2,   28.11,2,    0.02,2,    2.71,2,   1.472,2,   0.874,2,   0.2990,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    43.2,2,   31.00,2,     -999.0,1, 20170928,     1057, -32.5000, -72.3358,        0.0,1,      0.067,1,      4.641,1,      0.187,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.2139,2
320620170820,        P06,     244,          1,         29,         29,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   184.6,  10.4044,  34.5423,2,  34.5726,2,  26.5322,2,  25.1167,2,    22.2,2,   26.77,2,    0.01,2,    2.69,2,   1.580,2,   0.903,2,   0.4500,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    42.5,2,   29.60,2,     -999.0,1, 20170928,     1058, -32.5000, -72.3358,        0.0,1,      0.065,1,      4.637,1,      0.194,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.4529,2
320620170820,        P06,     244,          1,         30,         30,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   160.9,  11.0430,  34.6012,2,  34.5959,2,  23.0239,2,  23.4137,2,    22.3,2,   24.78,2,    0.01,2,    2.69,2,   1.608,2,   0.957,2,   0.4210,2,  2272.8,2,  2288.4,2,   7.3605,2,    25.00,  -999.0,9,  -999.0,    47.0,3,   28.30,2,     -999.0,1, 20170928,     1100, -32.5000, -72.3358,        0.0,1,      0.067,1,      4.614,1,      0.225,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    11.0510,2
320620170820,        P06,     244,          1,         31,         31,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   135.0,  11.2428,  34.5373,2,  34.4756,2,  40.5318,3,  51.4647,2,    17.5,2,   25.39,2,    0.02,2,    2.49,2,   2.075,2,   1.220,2,   0.6280,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1101, -32.4999, -72.3357,        0.0,1,      0.067,1,      4.622,1,      0.208,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.9644,2
320620170820,        P06,     244,          1,         32,         32,2,20170928,       0945,   -32.4999,   -72.3354,       2896,   109.4,  11.3127,  34.3644,2,  34.3796,2,  88.9453,2,  90.8594,2,    13.0,2,   24.40,2,    0.03,2,    2.25,2,   2.376,2,   1.432,2,   0.8040,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    43.9,3,   27.00,2,     -999.0,1, 20170928,     1103, -32.4999, -72.3356,        0.0,1,      0.080,1,      4.620,1,      0.227,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    11.2423,2
320620170820,        P06,     244,          1,         33,         33,2,20170928,       0945,   -32.4999,   -72.3354,       2896,    83.7,  11.9115,  34.3072,2,  34.2727,2, 164.9804,2, 155.8813,2,     8.6,2,   20.85,2,    0.22,2,    1.86,2,   2.541,2,   1.566,2,   1.2500,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    48.0,2,   24.10,2,     -999.0,1, 20170928,     1105, -32.4999, -72.3355,        0.0,1,      0.096,1,      4.612,1,      0.208,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    11.7746,2
320620170820,        P06,     244,          1,         34,         34,2,20170928,       0945,   -32.4999,   -72.3354,       2896,    60.1,  13.2548,  34.1886,2,  34.1773,2, 259.5525,2, 258.6153,2,     0.8,2,    6.75,2,    0.23,2,    0.83,2,   2.667,2,   1.563,2,   1.2900,2,  2082.8,2,  2273.6,2,   7.8514,2,    25.00,  -999.0,9,  -999.0,    59.2,3,   11.20,2,     -999.0,1, 20170928,     1106, -32.5000, -72.3354,        0.0,1,      0.295,1,      4.524,1,      0.243,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.2162,2
320620170820,        P06,     244,          1,         35,         35,2,20170928,       0945,   -32.4999,   -72.3354,       2896,    34.4,  13.2783,  34.1875,2,  34.1868,2, 260.2725,2, 260.8058,2,     0.6,2,    6.65,2,    0.22,2,    0.83,2,   2.665,2,   1.565,2,   1.3010,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,    56.4,3,   10.80,2,     -999.0,1, 20170928,     1108, -32.5000, -72.3354,        0.0,1,      0.393,1,      4.499,1,      0.268,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.2720,2
